query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
95,300m,72,256,1,5,2.221120672941208,"[18146884, 29468341, 58146640, 8123432, 228112640]"
96,300m,72,256,1,5,2.221120672941208,"[260555165, 66717321, 228455900, 158501043, 26985469]"
97,300m,72,256,1,5,2.221120672941208,"[115689543, 259914297, 214100017, 44248151, 130284549]"
98,300m,72,256,1,5,2.221120672941208,"[221883577, 161392632, 296967809, 9859358, 43341350]"
99,300m,72,256,1,5,2.221120672941208,"[277529667, 253407975, 290312855, 96535647, 297708405]"
100,300m,72,256,1,5,2.221120672941208,"[189226163, 223659315, 231583392, 132459321, 231761919]"
101,300m,72,256,1,5,2.221120672941208,"[261514809, 156840648, 236230256, 245755937, 213266945]"
102,300m,72,256,1,5,2.221120672941208,"[192006529, 218483559, 140382556, 1419709, 218625724]"
103,300m,72,256,1,5,2.221120672941208,"[240456867, 57068093, 134163922, 280183732, 134163928]"
104,300m,72,256,1,5,2.221120672941208,"[75989660, 94075061, 30766971, 237766370, 175795082]"
105,300m,72,256,1,5,2.221120672941208,"[217785503, 159600953, 28875190, 227360900, 218564249]"
106,300m,72,256,1,5,2.221120672941208,"[167418361, 58848946, 79281697, 258025937, 176156118]"
107,300m,72,256,1,5,2.221120672941208,"[247104839, 191784785, 239148187, 190732530, 66375012]"
108,300m,72,256,1,5,2.221120672941208,"[188559814, 11354954, 137426596, 264802137, 250813805]"
109,300m,72,256,1,5,2.221120672941208,"[148334984, 136102942, 165469929, 137930305, 85347169]"
110,300m,72,256,1,5,2.221120672941208,"[203104715, 40283770, 154270230, 30729626, 74921318]"
111,300m,72,256,1,5,2.221120672941208,"[161416661, 9980046, 268291633, 83072068, 83072044]"
112,300m,72,256,1,5,2.221120672941208,"[33406776, 17506965, 171597223, 109714533, 183483528]"
113,300m,72,256,1,5,2.221120672941208,"[33285225, 44646774, 148968466, 97507231, 88836019]"
114,300m,72,256,1,5,2.221120672941208,"[289481900, 84488124, 84488125, 242859885, 276840775]"
115,300m,72,256,1,5,2.221120672941208,"[49959631, 68025475, 44640260, 75037765, 44688408]"
116,300m,72,256,1,5,2.221120672941208,"[10791807, 166823767, 72710750, 219452106, 18017656]"
117,300m,72,256,1,5,2.221120672941208,"[252015351, 107765794, 64921798, 102240323, 1614995]"
118,300m,72,256,1,5,2.221120672941208,"[221811232, 161855888, 122131117, 107089852, 5630875]"
119,300m,72,256,1,5,2.221120672941208,"[239869551, 157881196, 7848153, 131148045, 244236527]"
120,300m,72,256,1,5,2.221120672941208,"[61307981, 193575861, 38610481, 33841849, 63300477]"
121,300m,72,256,1,5,2.221120672941208,"[259071515, 44402102, 260956334, 144942406, 144832277]"
122,300m,72,256,1,5,2.221120672941208,"[151534257, 163988011, 151362101, 163988086, 104732148]"
123,300m,72,256,1,5,2.221120672941208,"[125950689, 40487140, 229073607, 40435091, 279238362]"
124,300m,72,256,1,5,2.221120672941208,"[103660910, 21483673, 282465296, 130448488, 292221422]"
125,300m,72,256,1,5,2.221120672941208,"[34453432, 281040931, 57728762, 280987203, 281027890]"
126,300m,72,256,1,5,2.221120672941208,"[204061776, 1083858, 254193306, 105410561, 81449818]"
127,300m,72,256,1,5,2.221120672941208,"[20746912, 20746911, 273059429, 20746913, 201358112]"
128,300m,72,256,1,5,2.221120672941208,"[290366674, 41302095, 156219573, 143893549, 146982768]"
129,300m,72,256,1,5,2.221120672941208,"[103233960, 112127662, 73854731, 81163651, 285959938]"
130,300m,72,256,1,5,2.221120672941208,"[21237069, 255385922, 73294531, 156015378, 74450929]"
131,300m,72,256,1,5,2.221120672941208,"[144843049, 101491833, 159006861, 271296477, 109365459]"
132,300m,72,256,1,5,2.221120672941208,"[119184862, 145186807, 66305844, 243548636, 7020747]"
133,300m,72,256,1,5,2.221120672941208,"[27638381, 108769008, 108837498, 278367015, 267911998]"
134,300m,72,256,1,5,2.221120672941208,"[143589485, 135549895, 4270688, 272760053, 107046204]"
135,300m,72,256,1,5,2.221120672941208,"[67472639, 17262987, 60621647, 268125021, 205309529]"
136,300m,72,256,1,5,2.221120672941208,"[115678467, 138660787, 206547408, 103505158, 231814885]"
137,300m,72,256,1,5,2.221120672941208,"[120768413, 130690256, 134764221, 18580703, 183749417]"
138,300m,72,256,1,5,2.221120672941208,"[116889780, 177901450, 267907949, 116892332, 119641932]"
139,300m,72,256,1,5,2.221120672941208,"[181851759, 166091208, 103833844, 239972669, 256588250]"
140,300m,72,256,1,5,2.221120672941208,"[172668992, 151201873, 204333902, 43870016, 55472578]"
