query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
11360,300m,72,256,32,5,2.938233925819397
11392,300m,72,256,32,5,2.938233925819397
11424,300m,72,256,32,5,2.938233925819397
11456,300m,72,256,32,5,2.938233925819397
11488,300m,72,256,32,5,2.938233925819397
11520,300m,72,256,32,5,2.938233925819397
11552,300m,72,256,32,5,2.938233925819397
11584,300m,72,256,32,5,2.938233925819397
11616,300m,72,256,32,5,2.938233925819397
11648,300m,72,256,32,5,2.938233925819397
11680,300m,72,256,32,5,2.938233925819397
11712,300m,72,256,32,5,2.938233925819397
11744,300m,72,256,32,5,2.938233925819397
11776,300m,72,256,32,5,2.938233925819397
11808,300m,72,256,32,5,2.938233925819397
11840,300m,72,256,32,5,2.938233925819397
11872,300m,72,256,32,5,2.938233925819397
11904,300m,72,256,32,5,2.938233925819397
11936,300m,72,256,32,5,2.938233925819397
11968,300m,72,256,32,5,2.938233925819397
12000,300m,72,256,32,5,2.938233925819397
12032,300m,72,256,32,5,2.938233925819397
12064,300m,72,256,32,5,2.938233925819397
12096,300m,72,256,32,5,2.938233925819397
12128,300m,72,256,32,5,2.938233925819397
12160,300m,72,256,32,5,2.938233925819397
12192,300m,72,256,32,5,2.938233925819397
12224,300m,72,256,32,5,2.938233925819397
12256,300m,72,256,32,5,2.938233925819397
12288,300m,72,256,32,5,2.938233925819397
12320,300m,72,256,32,5,2.938233925819397
12352,300m,72,256,32,5,2.938233925819397
12384,300m,72,256,32,5,2.938233925819397
12416,300m,72,256,32,5,2.938233925819397
12448,300m,72,256,32,5,2.938233925819397
12480,300m,72,256,32,5,2.938233925819397
12512,300m,72,256,32,5,2.938233925819397
12544,300m,72,256,32,5,2.938233925819397
12576,300m,72,256,32,5,2.938233925819397
12608,300m,72,256,32,5,2.938233925819397
12640,300m,72,256,32,5,2.938233925819397
12672,300m,72,256,32,5,2.938233925819397
12704,300m,72,256,32,5,2.938233925819397
12736,300m,72,256,32,5,2.938233925819397
12768,300m,72,256,32,5,2.938233925819397
12800,300m,72,256,32,5,2.938233925819397
12832,300m,72,256,32,5,2.938233925819397
12864,300m,72,256,32,5,2.938233925819397
12896,300m,72,256,32,5,2.938233925819397
12928,300m,72,256,32,5,2.938233925819397
12960,300m,72,256,32,5,2.938233925819397
12992,300m,72,256,32,5,2.938233925819397
13024,300m,72,256,32,5,2.938233925819397
13056,300m,72,256,32,5,2.938233925819397
13088,300m,72,256,32,5,2.938233925819397
13120,300m,72,256,32,5,2.938233925819397
