list_id,vector_count
1813,36000
1479,36000
1460,36000
813,36000
642,36000
576,36000
512,36000
419,36000
388,36000
384,36000
339,36000
281,36000
121,36000
2,36000
17197,33000
17019,33000
17009,33000
16896,33000
16886,33000
16875,33000
16675,33000
16667,33000
16627,33000
16521,33000
16505,33000
16466,33000
16420,33000
16401,33000
16395,33000
16334,33000
16321,33000
16302,33000
16296,33000
16257,33000
16254,33000
16221,33000
16086,33000
16034,33000
16012,33000
15804,33000
15780,33000
15777,33000
15758,33000
15753,33000
15704,33000
15660,33000
15650,33000
15641,33000
15567,33000
15562,33000
15554,33000
15477,33000
15433,33000
15413,33000
15395,33000
15370,33000
15257,33000
15256,33000
15219,33000
15212,33000
15136,33000
15032,33000
14998,33000
14928,33000
14847,33000
14804,33000
14653,33000
14574,33000
14564,33000
14525,33000
14500,33000
14426,33000
14409,33000
14268,33000
14231,33000
14193,33000
14114,33000
14105,33000
14097,33000
14026,33000
13885,33000
13786,33000
13748,33000
13743,33000
13703,33000
13627,33000
13504,33000
13484,33000
13293,33000
13234,33000
13187,33000
13163,33000
13161,33000
12801,33000
12729,33000
12565,33000
12563,33000
12481,33000
12410,33000
12342,33000
12281,33000
12183,33000
12132,33000
12005,33000
11982,33000
11958,33000
11775,33000
11772,33000
11744,33000
11728,33000
11639,33000
11385,33000
11107,33000
11032,33000
10918,33000
10917,33000
10745,33000
10661,33000
10611,33000
10551,33000
10486,33000
10389,33000
10380,33000
10270,33000
10240,33000
10210,33000
10133,33000
9892,33000
9881,33000
9827,33000
9703,33000
9690,33000
9587,33000
9521,33000
9366,33000
9274,33000
9268,33000
9063,33000
9057,33000
9048,33000
9000,33000
8932,33000
8691,33000
8623,33000
8618,33000
8526,33000
8466,33000
8455,33000
8396,33000
8385,33000
8367,33000
8302,33000
8213,33000
8157,33000
8124,33000
8114,33000
8104,33000
8037,33000
7962,33000
7751,33000
7578,33000
7379,33000
7310,33000
7290,33000
7248,33000
7187,33000
7180,33000
7142,33000
7091,33000
6941,33000
6885,33000
6879,33000
6819,33000
6818,33000
6737,33000
6735,33000
6652,33000
6562,33000
6553,33000
6534,33000
6413,33000
6406,33000
6375,33000
6345,33000
6316,33000
6281,33000
6213,33000
5961,33000
5934,33000
5914,33000
5897,33000
5872,33000
5763,33000
5719,33000
5679,33000
5593,33000
5577,33000
5556,33000
5531,33000
5507,33000
5480,33000
5392,33000
5330,33000
5316,33000
5278,33000
5246,33000
5233,33000
5218,33000
5147,33000
5116,33000
5111,33000
5047,33000
5038,33000
4843,33000
4808,33000
4793,33000
4790,33000
4747,33000
4692,33000
4677,33000
4662,33000
4655,33000
4594,33000
4421,33000
4129,33000
4074,33000
3993,33000
3974,33000
3943,33000
3808,33000
3716,33000
3704,33000
3682,33000
3583,33000
3581,33000
3546,33000
3532,33000
3366,33000
3333,33000
3218,33000
3139,33000
3092,33000
3066,33000
3046,33000
2785,33000
2500,33000
2499,33000
2392,33000
2345,33000
2338,33000
2336,33000
2302,33000
2256,33000
2238,33000
2189,33000
2135,33000
2124,33000
2004,33000
1966,33000
1960,33000
1953,33000
1846,33000
1804,33000
1801,33000
1798,33000
1737,33000
1722,33000
1684,33000
1667,33000
1657,33000
1654,33000
1640,33000
1619,33000
1590,33000
1589,33000
1382,33000
1355,33000
1337,33000
1275,33000
1207,33000
1177,33000
1147,33000
1091,33000
1044,33000
1034,33000
956,33000
903,33000
899,33000
772,33000
764,33000
720,33000
694,33000
682,33000
648,33000
555,33000
433,33000
