query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
87,600m,72,24494,1,10,188.57421255111694,"[505650686, 491044044, 66599930, 220173209, 571636931, 226991267, 332663055, 498922512, 498922511, 347402911]"
88,600m,72,24494,1,10,187.77524638175964,"[272691094, 18516590, 354292520, 167407740, 283463728, 242212864, 254771150, 292866888, 254672467, 523517352]"
89,600m,72,24494,1,10,187.78057074546814,"[581116780, 388898852, 93028096, 162226153, 370799589, 112065139, 431801735, 316809578, 96753724, 98261118]"
90,600m,72,24494,1,10,187.8590018749237,"[383639438, 160144202, 522129904, 482672322, 411802593, 131364422, 411802613, 599542561, 165739048, 441837004]"
91,600m,72,24494,1,10,188.0671272277832,"[71233195, 315106232, 15931559, 531063675, 60055223, 225392258, 587563381, 397904159, 263154245, 399941080]"
92,600m,72,24494,1,10,192.12223601341248,"[186913484, 186913483, 308965505, 408493343, 453058695, 518336660, 489583657, 96335462, 116054388, 444394351]"
93,600m,72,24494,1,10,192.0480513572693,"[377891207, 160632588, 160632589, 160632606, 472766947, 477426557, 160632619, 262304672, 466485235, 199734920]"
94,600m,72,24494,1,10,187.23428511619568,"[382136867, 224559782, 59486559, 245470336, 353902440, 267224959, 135660561, 353517623, 226300732, 353811955]"
95,600m,72,24494,1,10,187.99864745140076,"[324444785, 18146884, 544083532, 29468341, 549976233, 463787733, 493145077, 58146640, 8123432, 228112640]"
96,600m,72,24494,1,10,187.04887580871582,"[415491103, 260555165, 319468212, 467082314, 587677770, 439330040, 66717321, 228455900, 309365349, 158501043]"
97,600m,72,24494,1,10,187.52718043327332,"[115689543, 522478978, 474323315, 313248135, 259914297, 390912880, 537760475, 585989401, 214100017, 44248151]"
98,600m,72,24494,1,10,187.79099035263062,"[293850217, 465034186, 436051257, 421810546, 221883577, 161392632, 296967809, 9859358, 385296377, 43341350]"
99,600m,72,24494,1,10,187.46781516075134,"[425207392, 277529667, 433505913, 400813724, 253407975, 302092542, 411858689, 456915022, 290312855, 519964394]"
100,600m,72,24494,1,10,187.4353368282318,"[189226163, 402269380, 477677333, 223659315, 231583392, 132459321, 460146893, 455867147, 231761919, 477744659]"
101,600m,72,24494,1,10,187.62523341178894,"[451505880, 253814188, 261514809, 307405293, 547765493, 448534146, 397641229, 156840648, 560850266, 236230256]"
102,600m,72,24494,1,10,187.73788452148438,"[192006529, 545815969, 457271210, 218483559, 140382556, 321173119, 594503539, 466518132, 587927733, 344348550]"
103,600m,72,24494,1,10,188.47403216362,"[510875360, 539756851, 317490910, 518603062, 437780003, 7220652, 240456867, 57068093, 156507016, 539756890]"
104,600m,72,24494,1,10,186.94701862335205,"[478609168, 75989660, 580163753, 446026929, 94075061, 565127133, 403954187, 30766971, 359151986, 237766370]"
