query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
27,"[54, 96, 188, 201]",4,0.05136359203606844,0.02913459623232484,0.2777962384861894,"[342833232, 239066460, 364949379, 76823179, 464209192, 173230971, 452350578, 406818359, 349966218, 192881082]","[54, 54, 54, 54, 54, 54, 54, 188, 188, 54]"
28,"[0, 8, 19, 46, 52, 61, 67, 94, 97, 133, 147, 171, 184, 192, 200, 228]",16,0.3152399524115026,0.10552204586565495,0.25814134984102566,"[486542584, 194090070, 245111306, 61133533, 3363907, 274739120, 386380398, 558431897, 61091245, 366522616]","[46, 200, 133, 97, 8, 19, 192, 97, 97, 228]"
29,"[10, 20, 36, 49, 89, 112, 128, 132, 156, 159, 188, 194, 213, 239, 241]",15,0.24132697843015194,0.10757661750540137,0.2617162230735024,"[176037102, 164759875, 281743200, 220058368, 571201178, 207043861, 344036839, 544604186, 249249826, 185069916]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]"
30,"[1, 10, 32, 39, 43, 52, 60, 93, 111, 112, 194, 211, 224, 239]",14,0.3249708469957113,0.1611266159452498,0.3125429106044716,"[201111705, 112700980, 588877957, 174822083, 254315404, 317734372, 549462201, 562921380, 421775084, 588877956]","[32, 60, 60, 60, 39, 60, 60, 43, 60, 60]"
31,"[4, 18, 21, 26, 29, 30, 70, 91, 124, 126, 148, 170, 181, 186, 202, 224]",16,0.31711705354973674,0.11304434761404991,0.3082879221183248,"[154718683, 79169640, 263282819, 381006524, 365713645, 115921841, 212904042, 424881179, 406174997, 428344569]","[91, 91, 91, 91, 18, 170, 4, 91, 186, 126]"
32,"[20, 33, 49, 85, 96, 100, 125, 164, 188]",9,0.22829456953331828,0.056948001496493816,0.24758948246017098,"[94973826, 305101499, 598687402, 266557487, 275034196, 138602395, 390525573, 49713139, 27436766, 55130296]","[96, 96, 33, 96, 85, 96, 85, 96, 188, 96]"
33,"[20, 70, 82, 192]",4,0.06328319758176804,0.09678315836936235,0.2959133326658048,"[226643905, 226643912, 37286001, 559487576, 78302557, 300324652, 45224550, 52810236, 394820965, 260683464]","[20, 20, 20, 20, 20, 20, 70, 192, 192, 20]"
34,"[2, 14, 77, 81, 82, 128, 129, 212, 227]",9,0.09150169556960464,0.057866211514919996,0.20886473691401383,"[338458298, 336062552, 45896088, 522761063, 354553936, 572877895, 94114406, 99665505, 430200580, 52805236]","[129, 129, 129, 129, 129, 81, 129, 129, 77, 129]"
35,"[102, 106, 180, 188, 221, 242]",6,0.09108034940436482,0.04941622307524085,0.3347145012812689,"[46371624, 572946019, 262952323, 278189217, 303017606, 573745672, 138432939, 115222581, 374653008, 392510615]","[242, 106, 242, 102, 102, 242, 102, 180, 102, 102]"
36,"[20, 49, 54, 58, 89, 110, 111, 112, 156, 165, 188, 194, 196, 199, 213]",15,0.29868461610749364,0.18879717448726296,0.43016549018211664,"[446742083, 492534000, 310471342, 291262936, 208939125, 194011947, 110688791, 46011837, 278816163, 552138646]","[165, 54, 111, 199, 199, 111, 156, 199, 199, 194]"
37,"[32, 112, 117, 129, 194, 206, 209, 227]",8,0.16183990240097046,0.05421563657000661,0.27782299305545166,"[403016532, 239518483, 320010234, 434260091, 510970601, 389554411, 322235737, 82778227, 346409730, 239979025]","[129, 129, 32, 129, 32, 194, 129, 112, 129, 32]"
38,"[10, 17, 33, 49, 82, 85, 96, 188]",8,0.22854400845244527,0.05331441713497043,0.2887286853219848,"[171909558, 517198530, 498409469, 188339158, 239972575, 100751935, 205361704, 504100258, 389531874, 18033777]","[96, 17, 17, 96, 96, 17, 188, 17, 188, 96]"
39,"[0, 10, 12, 18, 51, 72, 115, 124, 126, 202]",10,0.15210635028779507,0.13581850146874785,0.30311761165503415,"[167139573, 22796377, 353472243, 564356343, 380659614, 325105354, 536810984, 69873730, 311564209, 69814243]","[51, 51, 51, 51, 51, 12, 51, 12, 51, 51]"
40,"[10, 32, 37, 93, 99, 108, 126, 169, 194, 209, 239]",11,0.16013064794242382,0.09125199494883418,0.3326478366824714,"[463357697, 54598498, 593909787, 581987029, 399174922, 550170954, 47863419, 359317355, 363183345, 527104338]","[99, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
41,"[10, 20, 39, 59, 70, 72, 82, 106, 132, 188]",10,0.18057019263505936,0.07267751405015588,0.25489641618914904,"[198985429, 138965989, 34506581, 377426780, 517738559, 259982882, 448875282, 24487825, 389590141, 468192883]","[39, 82, 39, 82, 72, 10, 20, 82, 70, 10]"
42,"[6, 40, 171, 183, 200, 227]",6,0.06337455613538623,0.0392902591265738,0.22297827631700784,"[521012684, 489342896, 433868714, 16684904, 227461382, 524579792, 141163106, 87635642, 254389701, 48499195]","[171, 171, 171, 171, 171, 171, 171, 171, 171, 171]"
43,"[48, 64, 68]",3,0.03048829920589924,0.01853061281144619,0.19858216548648974,"[194928968, 276066170, 229424584, 187616394, 157719374, 493402860, 422547137, 345153317, 598788742, 178580027]","[68, 68, 68, 68, 68, 68, 68, 68, 68, 68]"
